chatbot_answer,add_question
관심,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
아무렇지 않을지도,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
도와드릴,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
곤란,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
난감,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
힘내세요,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
괜찮아요,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
괜찮아요,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
이해해요,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
옆,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
편이,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
곁에,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
제가 도움이,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
아파요,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
위로,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
스스로 상처,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
저에게 털어놓으셔도,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
다시 볼 수 있어,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
저와 이야기,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
마음에 맞는,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
스트레스,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
잠을,"제가 조금이라도 도움이 되고 싶은데, 혹시 고민 거리가 있다면 말씀해주세요"
잠은,"제가 조금이라도 도움이 되고 싶은데, 혹시 고민 거리가 있다면 말씀해주세요"
기운,"제가 조금이라도 도움이 되고 싶은데, 혹시 고민 거리가 있다면 말씀해주세요"
사고,다치지 않으셔서 다행이에요. 지금은 괜찮으신가요?
