,lyrics
Tate McRae - feel like shit,"Usually never cry at all
I would say I'm pretty tough
But it's been a couple weeks now and I still feel stuck in my lungs
And usually I go out on nights
And not think of you once
But if they start playin' that song
I can't help but to think about us, oh, oh

[Pre-Chorus]
Really thought I'd be done with the hardest part
When I pulled myself out of your arms
Wish I knew that was only the start
And now I'm fallin' apart 'cause

[Chorus]
Last night for the very first time
You didn't even try to call
Oh I, I, won't lie
I thought I might die
I couldn't even sleep at all
And maybe I'll get used to it (Ah, ah, ah-ah, ah)
But right now I just feel like shit (Ah, ah, ah-ah, ah)
Oh, oh

[Verse 2]
So I kissed somebody else
Just to see how it felt
But all that was goin' through my brain
Was your hands around my waist
You know how to do it so well

[Pre-Chorus]
Really thought I was done with the hardest part
When I pullеd myself out of your arms
Wish I knew that was only the start
And now I'm fallin' apart 'causе

[Chorus]
Last night for the very first time
You didn't even try to call (Didn't even try to call)
Oh I, I, won't lie
I thought I might die
I couldn't even sleep at all
And maybe I'll get used to it (Ah, ah, ah-ah, ah)
But right now I just feel like shit (Ah, ah, ah-ah, ah)
Oh, oh

[Bridge]
Now, if I get a little too drunk, I'll start thinkin', ""What if you were the one?""
I know that the damage is done, done
And I still have the shirt that you wore when we first met
It's there on the floor, I might kick it under the bed
Hopin' that I could forget that

[Chorus]
Last night for the very first time
You didn't even try to call
Oh I, I, won't lie
I thought I might die
I couldn't even sleep at all (At all)
And maybe I'll get used to it (Ah, ah, ah-ah, ah)
But right now I just feel like shit (Ah, ah, ah-ah, ah)
Oh, oh

[Outro]
Used to it
Feel like shit"
Small Talk - Blue,"I never really said I'm blue
A little bit sad
why I never really said
I'm a little bit sad about you
I'm a little bit sad
why I never really said I'm blue
Why I can't talk to you
without hurting on regrets
And lie if you want to
when I ask you if you'd forget
Me and I I keep runnin' from it
And I keep turnin' in bed
But all I picture is
our very first last kiss
And lie if you want to
Like I do when I'm with you
I never really said I'm blue
A little bit sad
why I never really said
I'm a little bit sad about you
'Cause you never really asked
why you never really asked why
I don't really wanna dead
that tune when
We're together on a pedestal
And I never really said the truth
I'm a little bit sad
why I never really said I'm blue
A little bit sad
why I never really said I'm blue
A little bit sad
why I never really said I'm blue
Tears should be flowin'
But I would rather
play pretend yeah
Some call it hopeless
I call it Better being friends
You and I
I see no turnin' back
And I keep tryna relax
But all I picture is
our very first last kiss
Lie if you need to
Like I do when I'm with you
I never really said I'm blue
A little bit sad
why I never really said
I'm a little bit sad about you
'Cause you never really asked
why you never really asked why
I don't really wanna dead
that tune when
We're together on a pedestal
And I never really said the truth
I'm a little bit sad
why I never really said I'm blue
A little bit sad
why I never really said I'm blue
A little bit sad
why I never really said I'm blue
Tell me what's on my mind
Tell me that no you're fine
Tell me what's on my mind
We're together on a pedestal
Tell me that No you're fine
I'm a little bit sad why I
never really said I'm
I never really said I'm blue
A little bit sad
why I never really said
I'm a little bit sad about you
'Cause you never really asked
why you never really asked why
I don't really wanna dead
that tune when
We're together on a pedestal
And I never really said the truth
I'm a little bit sad
why I never really said I'm blue
A little bit sad
why I never really said I'm blue
A little bit sad
why I never really said I'm blue"
Conor Matthews - Midnight Flight,"[Chorus]
If you leave right now (yeah)
If you tell him I'm the one tonight
Let me lay you down (yeah)
I can get your body feeling right
I know it's getting late outside
Baby there's still time if you leave right now (yeah)
I can get you on a midnight flight

I can get you on a midnight flight
I can get you on a midnight flight

[Verse 1]
When you touch down imma pick you up (you could)
You could need this drink imma pour you one (you could)
Feel what you feel and I feel bad
I can hit it for real
Do you feel that
I know that's new what they call it love
I can be the one

[Pre]
Why you with somebody on this earth that ain't me?
You could wake up with the man you need

[Chorus]
If you leave right now (if you leave right now)
If you tell him I'm the one tonight
Let me lay you down (yeah)
I can get your body feeling right
I know it's getting late outside
Baby there's still time if you leave right now (yeah)
I can get you on a midnight flight

[Bridge]
Leave right now (if you leave right now)
I can get you on a midnight flight
Leave right now
I can get you on a midnight flight
Leave right now
I can get you on a midnight flight
Baby come, baby come, we could love all night long

[Chorus]
If you leave right now (if you leave right now)
If you tell him I'm the one tonight
Let me lay you down (yeah)
I can get your body feeling right
I know it's getting late outside
Baby there's still time if you leave right now (yeah)
I can get you on a midnight flight (to me)

Leave right now
I can get you on a midnight flight
Leave right now
I can get you on a midnight flight"
Bjornskov - Paralyze,"every time that you are near
this power shut it down
inside of me
and I stop think clear
yeah with you I get weak
cus you are my kryptonite
No I don't know how to speak
No matter what I say
all these makes thing worse
from my head to my feet
I'm cut off your curse
you are my kryptonite
cuz you paralyze me
you paralyze me
there's nothing that I can do
yeah you paralyze me
feel numb that I can't breath
whenever you're in the room
so you got me up my knees
and I'm trying to get up
so desperately
but my heart get back beat
when I'm looking at you
cus you are my kryptonite
ohoh no no
so you knock me to the ground
like you victim of your love
you tie me down
yeah I'm out in first round
no I never had chance
cus you are my kryptonite
yeah you paralyze me
you paralyze me
there's nothing that I can do
yeah you paralyze me
feel numb that I can't breath
whenever you're in the room
I just wanna let you know
that I never let go
though you are my kryptonite
yeah you paralyze me
you paralyze me
there's nothing that I can do
yeah you paralyze me
feel numb that I can't breath
whenever you're in the room
yeah you paralyze me yeah
there's nothing that I can do
yeah you paralyze me
feel numb that I can't breath
whenever you're in the room"
Lauv - Sims (Edited Ver.),"I wish that you
and I lived in the Sims
We could build a house
And plant some flowers
and have kids
We're both at some trashy
Halloween party downtown
And I'll probably
never see you again
I wish that we met on a VHS
I'd erase the things I said
And that I'll probably say again
Hit rewind on all the times
I got lost in my head
But I guess I'll never see you again
I'll probably never see you again
Oh goddamn
I wish we would have met
On another night baby
Maybe then
I wouldn't have let you leave me
Yeah oh goddamn
I wish we would have met
On another night baby
In another life baby
In another life
I wish that we met
walkin' round the moon
And I'd say nice to meet you
'Stead of saying nice to know you
I tried to impress you
With some bullshit
'bout my name
At least I wouldn't be
too drunk to stay
I wouldn't have let you slip away
Oh goddamn
I wish we would have met
On another night baby
Maybe then
I wouldn't have let you leave me
Yeah oh goddamn
I wish we would have met
On another night baby
In another life baby
In another life
I wouldn't have let you
I wouldn't have let you
I wouldn't have let you
I wouldn't have let
I wouldn't have let you
I wouldn't have let you
I wouldn't have let you
I wouldn't have let
I wouldn't have let you
I wouldn't have let you
I wouldn't have let you
I wouldn't have let you leave me"
Mokita - More Than Friends,"Like a red light on the interstate
Hate that I made us slow down so fast
Like an L.A. club without the wait
You just can't make sense of where we’re at

[Pre-Chorus]
Wish I could have said what I'm saying now
Should have played it first, but for what it's worth

[Chorus]
I’m sorry that I let us down again
I never meant to break your heart
Tear us apart like this
Oh, I just wish that I could go
Back to back then
Back when we were more than friends

[Post-Chorus]
More than friends

[Verse 2]
Now we pause at the end of phone calls
'Cause neither of us knows how to say goodbye
Tell our friends we're better off
But everything I feel says that's a lie

[Pre-Chorus]
Wish I could have said what I'm saying now
Should have played it first, but for what it's worth

[Chorus]
I'm sorry that I let us down again
I never meant to break your heart
Tear us apart like this
Oh, I just wish that I could go
Back to back then
Back when we were more than friends

[Post-Chorus]
Back when we were more than friends
Back when we were more than friends

[Bridge]
Oh baby, I can't help it
I want more than friends

[Outro]
Oh baby, I can’t help it
I want more than friends
Oh baby, I can’t help it
I want more than friends"
Pinkish Blu - Red Hot Moon,"It's all
In that very moment
Your sound
Crawled up into my skin
Like the call from the wild
I've been divided
And it's all
In that very moment

Chorus
I'm thinking oh my god
You're all I'll ever want
But you're the red hot moon
And?I'm?a?waterfront

Verse 1
You sat down?on the stairs?and I sat down short of breath
The clouds blocked out the sun and I heard your little hum
I stopped to think this over but you looked into the light
Like we were in it, we were there
And my eyes drew to the right

I felt my fingers warmer as your head lay on my shoulder
The wind picked up a little bit, I couldn't hear you whispering
A silence fell on us and we know what happened next, we were in it, we were there and your eyes drew to the left

Chorus
I'm thinking oh my god
You're all I'll ever want
But you're the red hot moon
And I'm a waterfront

Bridge
It's all
In that very moment
Your sound
Crawled up into my skin

Chorus
I'm thinking oh my god
You're all I'll ever want
But you're the red hot moon
And I'm a waterfront"
"3Lau, Justin Caruso  - Better With You (feat. Iselin)","Last night I was messed up
but I hope you will forget
Please do me a favor
erase the things I said
Pull me a little closer
take away the pain
Remind me
I got everything to lose
I'm better with you
I’m better with you
I'm better with you
I'm better with you
I’m better with you
I'm better with you
Laying by your bedside
you feel so far away
Guess my quota is full now
go ahead make a mistake
You'll say that you're sorry
and I'll say it's ok
Cause I know
I got everything to lose
I'm better with you
I'm better with you
You’ll say that you’re sorry
and I'll say it’s ok
Cause I know
I got everything to lose
I'm better with you
I'm better with you
I'm better with you
I’m better with you
I am by your side
nothing else will matter
When your eyes meet mine
we say it all in silence
Under the same sky
good things fall together
Now I know I'm better with you
I'm better with you
I'm better with you
I'm better with you"
keshi - summer,"Feel like summer and I don't wanna miss you
If we don't touch lips, not an issue
I don't wanna talk 'bout nobody else
Know I said no love but I want to
Feel like summer and I don't wanna miss you
If we don't touch lips, not an issue
I don't wanna talk 'bout nobody else
Know I said no love but I want to

[Verse 1]
One time, maybe twice in
One night, it's alright we're
Both alone so go together
Kiss my wounds but not forever
Fuck around, feel my heartbeat
Fallin' down in the backseat
Fill me up 'cause I'm runnin' on empty
And it's fine if we're only pretending

[Pre-Chorus]
Three months is all we got
Try not to fall in love
Don't think I've had enough but I said it's fine by me

[Chorus]
Feel like summer and I don't wanna miss you
If we don't touch lips, not an issue
I don't wanna talk 'bout nobody else
Know I said no love but I want to
Feel like summer and I don't wanna miss you
If we don't touch lips, not an issue
I don't wanna talk 'bout nobody else
Know I said no love but I want to

[Verse 2]
Said we goin' bye bye in a minute
I'ma chill on the Southside, caught feelings
When the leaves turn, no more favors
Nice to meet ya, catch you later, yeah

[Pre-Chorus]
Three months is all we got
Try not to fall in love
Said I ain't had enough but I think that's fine by me

[Chorus]
Feel like summer and I don't wanna miss you
If we don't touch lips, not an issue
I don't wanna talk 'bout nobody else
Know I said no love but I want to
Feel like summer and I don't wanna miss you
If we don't touch lips, not an issue
I don't wanna talk 'bout nobody else
Know I said no love but I want to

[Outro]
(Kiss my wounds but not forever
Fill me up 'cause I'm runnin' on empty
Kiss my wounds but not forever
And it's fine if we're only pretending)"
Bruno Mars - Versace On The Floor,"Let’s take our time tonight
Girl above us
all the stars are watching
There’s no place
I’d rather be in this world
Your eyes are where I’m lost in
Underneath the chandelier
We’re dancing all alone
There’s no reason to hide
What we feeling inside right now
So baby let’s just
turn down the lights
And close the door
Ooh I love that dress
but you won’t need it anymore
No you won’t need it no more
Let’s just kiss till we naked baby
Versace on the floor
Take it off for me for me for me
for me now girl
Versace on the floor
Take it off for me for me for me
for me now girl
I unzip the back and watch it fall
While I kiss your neck and shoulders
No don’t be afraid to show it all
I’ll be right here ready to hold you
Girl you know you perfect
from your head down to your heels
Don’t be confused by my smile
Cause I aint never been more
for real for real
So just turn down the lights
And close the door
Ooh I love that dress
but you won’t need it anymore
No you won’t need it no more
Let’s just kiss till we naked baby ooh
Versace on the floor
Take it off for me for me for me
for me now girl
Versace on the floor
Take it off for me for me for me
for me now girl
It’s warming up
Can you feel it
It’s warming up
Can you feel it
It’s warming up
Can you feel it baby
It’s warming up
Seems like you’re ready
for more more more
Let’s just kiss till we naked ooh
Versace on the floor
Take it off for me for me for me
for me now girl
Versace on the floor
Take it off for me for me for me
for me now girl
Versace on the floor floor floor"
