Unnamed: 0,lyrics
백아 - 테두리,"내 오늘도 그댈 담을 말이 없는걸
뜸을 들이다 그댈 추억하오
늦은 밤 꺼내서 미안해
누구를 위한 그 사랑 노래를
꽃 남방 정든 훈장을 쥐고
세상에 그대 젊음이 울리면 난
기억을 잃고 다시 태어난대도
머무르고 싶다 떼를 써요
빛에 테두리를 그리고
주위를 맴도는 난
그 달이 될게요
내 맘은 무뎌지지 않으니
익숙해지지만 말아주시오
깊어질수록 슬피 운 것도 아닌
부슬비처럼 나 살아갈 테요
빛에 테두리를 그리고
주위를 맴도는 난 그
그 달이 될게요
나 비록 그대의 사랑이 될 순 없지만
감히 그대 없던 세상을 떠올리느니
사랑이 아니길
어리숙한 마음 정리하지 못한
어울리지 않는 마음 달고
그댈 바라볼 내가 밉소
왜 나는 마음마저도 노력하고
깊어진 내 맘만 초라해지는걸
내 오늘도 그댈 담을 말이 없는걸"
"카더가든 - 그날, 우리","가끔 떠올리게 돼
유난히 어둡던
아무 말 없던 그 밤의 우리를
사라져 버린 침묵에
아니 사실 의도 했었던 마지막에
넌 알고 있었어
혼자서 미뤄온 날들
이제 다 의미 없겠지
아주 멀리 떠나 가고 싶어
아무 발걸음도 닿지 않게
아주 멀리 떠나 가고 있어
너를 만났던 그 때 그대로
언제부터였을까
하루 하루 지나
더 깊은 곳에 가두려 했었지
외로운 내 일상 속에
조금 잊혀지길 바랬어
긴 한숨도 끝이길 바랬어
혼자서 참았던 날들
멀리서 지켜온 기억
이젠 다 의미 없나 봐
아주 멀리 떠나 가고 싶어
아무 발걸음도 닿지 않게
아주 멀리 떠나 가고 있어
너를 만났던 그 때 그대로
조금씩 무너지고 무너져만 가
아물은 상처 위로 스며든 위로
모든 게 흩어져 떠나갈 오늘이
믿기지 않아 네가 없어진 하루
너는 어땠는지 묻고 싶어
이런 내가 못나 보인대도
너는 아무렇지 않은 걸까
멀어져 가 버린 기억일까"
이고도 - Mouse,"Hey
긴 고요 속에
숨죽여 있는 법을 알고 있지 않니
그 방법을 나에게도 알려줘
때가 되면 우린 모두
어디론가 사라질 거잖아
난 어쩌면 분주한 사람들 틈에
더 가만히 있는 법을 배웠어
Oh I must pretend to be dead
I'm in this city
and I'm going through the night
Oh I have to hold my breath
I will find love
and find a way to survive here
모두가
지나가고
난 후에야 머리를 내어 소릴 내
안길 품 없는 온몸에는
얼룩이 번지네
때가 되면 우린 모두
어디론가 사라질 거잖아
난 어쩌면 분주한 사람들 틈에
더 가만히 있는 법을 배웠어
Oh I must pretend to be dead
I'm in this city
and I'm going through the night
Oh I have to hold my breath
I will find love
and find a way to survive here
Oh I must pretend to be dead
I'm in this city
and I'm going through the night
Oh I have to hold my breath
I will find love
and find a way to survive here
나는 왜 적막을 견디질 못해
삐끗하다간 더 크게 다칠 텐데
저길 봐 그림자가 흔들리잖아"
박소은 - 너는 나의 문학,"너는 어느 얼굴 없는
소설가의 문학 첫 문장
아니 그걸론 부족한데
너는 어느 이름 없는
소설가의 마지막 문장
안돼 이것도 부족한데
너는 나의 수레바퀴 아래서
너는 나의 호밀밭의 파수꾼
너는 나의 헤밍웨이 요조
나는 너를 나는 너를
계속 읽고 싶어
닳아 없어질 때까지
계속 읽고 싶어
해져 찢어질 때까지
계속 읽고 싶어
닳아 없어질 때까지
계속 읽고 싶어
해져 찢어질 때까지
너의 말은 시가 되어
텅 빈 책에 받아 적히고
그걸 평생 들고
다닐 거야
너의 노랜 글이 되어
내 눈 속에 깊이 박히고
모두 너를 듣게 될 거야
너는 나의 노르웨이의 숲
너는 나의 데미안
너는 나의 설명할 수 없는 책
나는 너를 나는 너를
계속 읽고 싶어
닳아 없어질 때까지
계속 읽고 싶어
해져 찢어질 때가지
계속 읽고 싶어
닳아 없어질 때까지
계속 읽고 싶어
해져 찢어질 때까지
계속 보고 싶어
달이 넘어갈 때까지
계속 넘기고 싶어
해가 떨어질 때까지
너는 나의 너는 나의 책
너는 나의 너는 나의 문학
너는 나의 마지막 문장
너는 나의 너는 내 첫 문장"
이강승 - 사랑이 너무 헤퍼,"사랑이 너무 헤퍼서 그 말을 못 했네
말라붙은 입에 잘못은 아니고
스쳐진 옷깃에 우리 인연이었는데
떠나가 버리면 난 어떡해야 해
풀어진 마음 한가운데 조각인 게
사랑이라 웃지 않으면 너는 바보일 거야
얘길 해도 내 사랑이 헤퍼
그게 어리석다 무시했겠지
다들 기억할 거야
사랑에 아픈 기억이 오늘을 덮칠 때
어쩔 줄 몰라서 멈춰진 발걸음
가만히 보다 이상해 주변을 살피니
겁을 먹은 건 나뿐이 아니네
풀어진 마음 한가운데 조각인 게
사랑이라 웃지 않으면 너는 바보일 거야
얘길 해도 내 사랑이 헤퍼
그게 어리석다 무시했겠지
다들 기억할 거야
I need you love I need you more
if you're in there you know I love you
I need you love I need you more
if you're in there you know I love you
풀어진 마음 한가운데 조각인 게
사랑이라 웃지 않으면 너는 바보일 거야
얘길 해도 내 사랑이 헤퍼
그게 어리석다 무시했겠지
다들 기억할 거야
I need you love I need you more
if you're in there you know I love you
I need you love I need you more
if you're in there you know I love you"
김새녘 - 의심,"날 버리기 전에
다시금 떠올려봐요
싫었던 기억을
한없이 되돌아보면
당신의 거짓말 그 말에도
미워하지 않았어
아직 날 더 속여도
감당할 수 있을 것 같은
내 진심을 이해해 줘
지나친 순간은
아련히 보이겠지만
그 어떤 날보다
아픈 건 그때일 텐데
마지막 그대의 모습은
미워할 수 없었어
아직 난 마음처럼
다 버리고 잊을 수 없는
기억 속을 바라봐요
거짓말
아직 난
거짓말"
콜드 - 아무도 모르는 노래,"나를 스쳐가는 그대
내 말을 들어줘
걸음을 멈추고
내 노랠 들어줘
yeah yeah
텅 빈 거리 가로등 불
날 밝게 비추면
무대를 시작해
나 홀로 여기서
yeah yeah
축 처진 고개들과
비틀거리는 그림자
그렇게 나는 불청객이 돼
아무도 모르는 yeah
노래를 부르며 yeah
텅 빈 거리 위
채우는 멜로디
난 꿈을 부르지
늘 꿈을 그리지 yeah
아무도 모르는
노래를 부를래
지나가는 너의
마음을 붙잡을 수 있길 바라며"
위수 - 교토,"이상하리만치 맑은 하늘 아래에 서서
너를 안고 있으면
가진 것이 아무 것도 없지만
너에게 늘 말해주고 싶어
살아야지
나는 살아 너에게
니가 살고 싶은 세상이 되어줘야지
험난한 세상 속
너는 언제까지나
나의 마음 속 영원한 교토
언젠가 너의 손을 잡고
다시 이곳에 올 수 있을까
가진 것이 아무 것도 없어서
너에게는 아무 말 못하고
그저 안아줄 수 밖에 없어
슬픈 꿈을 꾸고 일어난 것처럼
너를 잊어야만 하는 날이
오지 않기를
슬픈 꿈을 꾸고 일어난 것처럼
너를 잊어야만 하는 날이
오지 않기를
살아야지
나는 살아 너에게
니가 살고 싶은 세상이 되어줘야지
험난한 세상 속
너는 언제까지나
나의 마음 속 영원한 교토"
리도어 - 사랑의 미학,"미리 알았더라면
조금 덜 아팠을까
내 하루를 버텨 줄 일기장에는
또 무엇을 담을까
부풀린 사랑에 속아요
뒷걸음치는 내 모습 알아요
내가 나를 괴롭혔네요
어둠이 떨어져도 난 몰랐죠
풍선에 매달린 듯
해가 떠오른다면
옅어진 우리를 채울 거예요
꽃잎은 졌다 해도
부풀린 사랑에 속아요
뒷걸음치는 내 모습 알아요
내가 나를 괴롭혔네요
어둠이 떨어져도 난 몰랐죠
떠내려간 마음이 예정 없이 찾아와요
사라진 흔적만 가득한데
부풀린 사랑에 속아요
뒷걸음치는 내 모습 알아요
내가 나를 괴롭혔네요
그늘이 떨어져도 난 몰랐죠
난 세 번을 빙글 돌아요
어지러운 세상은 익숙해요
사랑이란 말 잘 몰라요
후회를 삼켜봐야 뭐겠어요"
Off the menu - Sunshine,"너의 웃음소리는
나만 들을 수 있어서 너무 좋아
너는 나와 너무 닮아서
내 모든 것 그 안엔 네가 있어
늦은 밤 집으로 돌아갈 때
벌써 네 얼굴이 떠올라
아쉬움에 네게 난 또 전화를 걸어
너라는 행운이 있다는 게
어떤 단어로도 그려지지가 않아
Everytime I seek into your heart
내 마음속엔 네가 깊게 자리 잡고 있어
Everytime I hold your tiny hands
꽉 잡은 이 두 손을 꼭 놓지 않을게
for you
for you for you
너에게 한 걸음씩 다가갈게
조금 서툴어도 언젠가는 닿을 테니까
모른척하지 말아 줄래
투명한 세상에 유일한 선물은 너야
Everytime I seek into your heart
내 마음속엔 네가 깊게 자리 잡고 있어
Everytime I hold your tiny hands
꽉 잡은 이 두 손을 꼭 놓지 않을게
for you
Everytime I seek into your heart
Everytime I hold your tiny hands"
