,Unnamed: 0,lyrics,link,duble_check
0,XIA (준수) - You Are So Beautiful,"지금 난 너의 눈을 보며 운다
네 맘을 보며 운다
애써 해맑게도
쓴웃음 짓는 그 표정에
너를 담아두고 싶다
그 바보같이 예쁜 꿈들과
어설픈 모습을
하루하루 네 모습이
추억을 만들어 나 기억해
네 여린 손 흩어진 머리까지도
Forever you You are so beautiful
내 가슴에 밀려와
스며와 다가와 번진 네 상처도
Forever you You are so wonderful
시린 네 사랑도 네 눈물도
내 아픈 상처를 지우죠
널 사랑한다 널 사랑한다
이제는 너를 안아주고 싶다
그 차가운 세상 끝에
홀로 서성이던 널
하루하루 내 사랑이
네 맘을 위로해
상처난 네 가슴에
내 기억들을 담는다
Forever you You are so beautiful
내 가슴에 밀려와
스며와 다가와 번진 네 상처도
Forever you You are so wonderful
시린 네 사랑도 네 눈물도
내 아픈 상처를 지우죠
널 사랑한다 널 사랑한다
한 순간 조차 잊지 말아요
얼마나 얼마나 사랑했는지 기억해요
for you You are so beautiful
내 가슴에 밀려와 스며와
다가와 번진 네 상처도
Forever you You are so wonderful
시린 네 사랑도 네 눈물도
내 아픈 상처를 지우죠
널 사랑한다 널 사랑한다
네 기억으로 살고싶다",https://www.youtube.com/watch?v=kMjxFLMcQAw,You are so beautiful
1,스텔라장 - 보통날의 기적 (Feat. 폴킴),"I’m waiting for a miracle
내 보통뿐인 나날에
Oh would you be my miracle
난 너에게 늘 감사해
저물어 가는 해는
약속을 하지 않아요
오늘이 지나가도
날 잊지 않길 바라요
You
You
I’m waiting for a miracle
내 보통뿐인 나날에
Oh let me be your miracle
난 이미 너를 자랑해
저물어 가는 해는
약속을 하지 않아요
오늘이 지나가도
내 손을 놓지 말아요
You
You
I’m waiting for a miracle
내 보통뿐인 나날에
Oh would you be my miracle
난 이미 너를 사랑해
저물어 가는 해는
약속을 하지 않아요
오늘이 지나가도
그대 나와 함께 가요
You
그대는 나의
그대는 나의
You
기적이죠
기적이죠
영원을 닮은 기다림 끝에
나를 찾아온 그대
일어나지 않을 것만 같았던
기적
You’ll always be my miracle
Lalala
보통날이 아름다운 건
그대란 기적 때문이죠
내 하루를 밝혀주는 건
그대란 이름의 빛이죠
You’ll always be my miracle
You’ll always be my miracle
난 이미 그대를 자랑해
난 이미 그대를 사랑해
그댄 내 보통날의 기적이죠",https://www.youtube.com/watch?v=2SlR-DMj7co,[Live Clip] Stella Jang(스텔라장) _ Miracle(보통날의 기적) (Feat. Paul Kim(폴킴))
2,폴킴 - 파도,"눈이 부시게
아름답던 바다
나의 눈 속엔
그보다 더 고운 너였어
하얀 모래 위
너와 내가 남긴 추억들
파도가 떠나도
내겐 지워지지 않는 걸
너를 보내고
나 또다시 찾은 바닷가
하지만 이제 내 곁에
다른 사람 있는 걸
새롭게 시작하고 싶어
그녀를 따라왔어
하지만 내 맘
네 모습만 생각이 나
그녀 머리에
쏟아진 별빛들
그 별빛 아래
약속한 지난날이 떠올라
흔들리는 나의 마음을
가눌 길 없는 내 눈빛
너와 비슷한 사람마저 쫓고 있었어
그 순간 내 두 눈 속에
너무 익숙했던 너의 뒷모습
그렇게 그리던 지난날
바로 너였어
눈이 부시게
아름다운 바닷가
나의 눈 속엔
그보다 고운 너였어
하얀 내 맘에
지난날 우리가 남긴 추억들
파도가 안기듯
다시 내게 돌아오는 걸
나와 마주친 당황한 네 얼굴
하지만 너의 곁에도
다른 누가 있는 걸
너를 안고 싶은 내 가슴
널 붙잡고픈 내 손길
허나 넌 이미 나를 둔 채 멀어져 갔어
하지만 널 돌아본 순간
두 눈에 흐르던 네 눈물 때문에
꼭 나처럼 기다린
너란 걸 알았어 날 봐
다시 너에게 달려가는 나를 봐
찌는 태양도
내 사랑을 가릴 순 없어
하얀 모래 위
우리의 사랑을 다시 새겨봐
이제는 내 사랑
너를 놓지 않을 테니까",https://www.youtube.com/watch?v=_YvilK-h3_c,폴킴 (Paul Kim) - 파도 [Music Video]
3,브레이브걸스 - 롤린 (Rollin'),"그 날을 잊지 못해 babe
날 보며 환히 웃던
너의 미소에
홀린 듯
I'm fall in love
But 너무 쪽팔림에
난 그저
한마디 말도 못해 babe
I wanna you
너의 눈빛은
날 자꾸 네 곁을 맴돌게 해
Just only you
굳게 닫힌 내 맘이
어느새 무너져버려
Because of you
온통 너의 생각뿐이야
나도 미치겠어
너무 보고 싶어
매일 매일 매일
자꾸 초라해지잖아
내 모습이
그대여 내게 말해줘
사랑한다고
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
하루가 멀다 하고
Rolling in the deep
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
기다리고 있잖아 Babe
Just only you
기다리고 있잖아 Babe
Just only you
Hey I just wanna be with you
오늘 밤이 가기 전에
I can't feel you
조금 더 다가와 줘
Tonight I'm ready for you
You wanna touch me I know
대체 뭘 고민해 빨리 안아
아닌 척 모르는 척 하다가
늦게 놓치고 후회 말아
I wanna you
너의 눈빛은
날 자꾸 네 곁을 맴돌게 해
Just only you
굳게 닫힌 내 맘이
어느새 무너져버려
Because of you
온통 너의 생각뿐이야
나도 미치겠어
너무 보고 싶어
매일 매일 매일
자꾸 초라해지잖아
내 모습이
그대여 내게 말해줘
사랑한다고
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
하루가 멀다 하고
Rolling in the deep
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
기다리고 있잖아 Babe
Just only you
이제 와 숨기려 하지 마요
그대여
아닌 척하지 마요
온종일 난
그대 생각에 잠긴 채로
난 이대로 기다리고 있어요
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
하루가 멀다 하고
Rolling in the deep
Rollin' Rollin' Rollin' Rollin'
Rollin' Rollin' Rollin' Rollin'
기다리고 있잖아 Babe
Just only you
기다리고 있잖아 Babe
Just only you",https://www.youtube.com/watch?v=-Axm4IYHVYk,[MV] 브레이브걸스 (Brave Girls) - 롤린 (Rollin') Dance ver.
4,레드벨벳 - 미래,"어딘지 모를 꿈결 속에서
행복한 날 또 본 것 같았어
다가올 내일은 불안한 표정이지만
쉽게 나를 놓을 순 없네
찬란한 빛을 향해 걸어
나를 가둘 듯한 미로
그럴 때마다 난 너를 기억해
내 꿈을 잊지 않게 해줘
별이 쏟아지는 곳에
우린 결국 함께 한다고
You are my future future
All the time
힘든 시간들을 건너 너의 손을 잡고 싶어
You are my sunshine sunshine
All the day
해가 밤을 돌아 아침을 또 만든 것처럼
날 비춰줘
너는 또 다른 나의 미래
영원히 계속될 Love way
너는 또 다른 나의 미래
I’ll show you my love
가끔 넘어져 상처가 나도
웃는 모습 난 그게 좋았어
굳은 다짐들 한 번씩 무너지지만
너를 보면 견딜 수 있어
찬란한 빛을 향해 걸어
나를 가둘 듯한 미로
그럴 때마다 난 너를 기억해
내 꿈을 잊지 않게 해줘
별이 쏟아지는 곳에
우린 결국 함께 한다고
You are my future future
All the time
힘든 시간들을 건너 너의 손을 잡고 싶어
You are my sunshine sunshine
All the day
해가 밤을 돌아 아침을 또 만든 것처럼
날 비춰줘
너는 또 다른 나의 미래
영원히 계속될 Love way
너는 또 다른 나의 미래
I’ll show you my love
You are my future future
All the time
힘든 시간들을 건너 너의 손을 잡고 싶어
You are my sunshine sunshine
All the day
해가 밤을 돌아 아침을 또 만든 것처럼
날 비춰 줘
너는 또 다른 나의 미래
영원히 계속될 Love way
너는 또 다른 나의 미래
I’ll show you my love",https://www.youtube.com/watch?v=GTcM3qCeup0,[MV] Red Velvet (레드벨벳) - 미래 [스타트업 OST Part.1 (START-UP OST Part.1)]
5,LUCY - 개화 (Flowering),"아른아른 아지랑이 괜히 눈이 부시고
포근해진 얼음은
겨우 녹아내릴 것만 같아
동지섣달 기나긴 밤 지나
헤매었던 발걸음
있잖아 까맣고 혼자 외로운 날
그때가 기억조차 안 나
새하얗게 웃던 날을 기억하나요 그대
내가 느낀 모든 걸
너에게 줄 수 있다면
바람아 내게 봄을 데려와 줘
벚꽃 잎이 흩날리듯이
시간아 나의 봄에 스며들어
점점 더 더 더
소리 없이 일렁이며
떨고 있는 초라한 맘은
흐르는 물의 연꽃처럼
전부 멀어져 갈 거야
넌 그저 그 자리에 그대로
아름다워
새하얗게 웃던 날을 기억하나요 그대
내가 느낀 모든 걸
너에게 줄 수 있다면
바람아 내게 봄을 데려와 줘
벚꽃 잎이 흩날리듯이
시간아 나의 봄에 스며들어
점점 더 더 더
햇살에 깜빡깜빡 미끄러지듯이
우린 사르르르르 사르르르
기지개 피듯 두 팔 벌린 꽃들처럼
그대 꿈도 On & On
아무것도 할 수 없을 것 같은
그 마음
혼자만 남아 시들지는 않을까
괜찮아 괜찮아 언젠가 언젠가
파랗게 피어날 거야
나는 그런 널 기억할 거야
새하얗게 웃던 날을 기억하나요 그대
내가 느낀 모든 걸
너에게 줄 수 있다면
바람아 내게 봄을 데려와 줘
벚꽃 잎이 흩날리듯이
시간아 나의 봄에 스며들어
점점 더 더 더
햇살에 깜빡깜빡 미끄러지듯이
우린 사르르르르 사르르르
기지개 피듯 두 팔 벌린 꽃들처럼
그대 꿈도 On & On",https://www.youtube.com/watch?v=WQdFA55hT80,[MV] LUCY _ Flowering(개화)
6,송이한 - 밝게 빛나는 별이 되어 비춰줄게,"우리의 모든 순간이
애틋해 눈물 날 때면
언제나 네게 닿을 수 있게
가까이서 머물게
유난히 더 힘든 날엔
더 이상 외롭지 않게 안아줄게
영원히 내 품에 너를 간직할게
세상이 널 외면해도
모두가 저버린대도
항상 곁에서 변함없이 늘 있어줄게
밝게 빛나는 별이 되어
너를 비춰줄게 매일
어두워 헤맬 때도
앞이 두려워도
언제나 널 지켜줄게
세상이 널 아프게 할 땐
내가 안아줄게 매일
포근한 바람으로
따듯한 햇살로
난 널 지켜줄게 매일
너의 모든 시간 속에 내가 함께할게
오직 너를 위한 소중한 꿈을 담아
밝게 빛나는 별이 되어
너를 비춰줄게 매일
어두워 헤맬 때도
앞이 두려워도
언제나 널 지켜줄게
세상이 널 아프게 할 땐
내가 안아줄게 매일
포근한 바람으로
따듯한 햇살로
난 널 지켜줄게
네가 걸어가는 그 길 따라
수많은 별이 되어 비춰줄게
눈부시게 또 아름답게
너를 비춰줄게 매일
세월이 흐른대도
시간이 지나도
언제나 널 사랑할게
영원히 너만을 빛나게
내가 비춰줄게 매일
길고 긴 시간 속에서
찾아올 끝에도
너를 사랑할게 매일",https://www.youtube.com/watch?v=5YQww_vbNTU,송이한 - 밝게 빛나는 별이 되어 비춰줄게 / 가사
7,마크툽 - 별을 담은 시 (Ode To The Stars),"니가 언젠가 말했잖아
나의 노래엔
마음을 움직이는 힘이 있다고
그날 너의 위로가 날 노래 부르게 했어
정말로 고마워 내게 용기를 줘서
우리 앞의 세계는
저마다의 색으로 기억되고
짧은 입맞춤처럼 너 안에 닿기를
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야
내가 분명히 말했잖아
나의 꿈만큼 빛나는 별을
노래에 담겠다고
그날 너를 향했던 진심은
계절을 버텨내
꽃으로 피어나 너에게 날아가
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야
어떤 날 누군가를 위해 부르는 노래
이 숨결이 날 품은 바람 되어
너에게 닿기를
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야",https://www.youtube.com/watch?v=x6VT6xG6nAA,"마크툽(MAKTUB),이라온-별을 담은 시(Ode To The Stars)"
8,아이유 - 내 손을 잡아,"느낌이 오잖아 떨리고 있잖아
언제까지 눈치만 볼 거니
네 맘을 말해봐
딴청 피우지 말란 말이야
네 맘 가는 그대로
지금 내 손을 잡아
어서 내 손을 잡아
우연히 고개를 돌릴 때 마다
눈이 마주치는 건
몇일밤 내내 꿈속에 나타나
밤새 나를 괴롭히는 건
그 많은 빈자리 중에서 하필
내 옆자릴 고르는 건
나도 모르게 어느새 실없는 웃음
흘리고 있다는 건
그럼 말 다했지 뭐
우리 얘기 좀 할까
느낌이 오잖아 떨리고 있잖아
언제까지 눈치만 볼 거니
네 맘을 말해봐
딴청 피우지 말란 말이야
네 맘 가는 그대로
지금 내 손을 잡아
핸드폰 진동에 심장이 덜컥
내려 앉는다는 건
오 나도 모르게
어느새 짓궂은 네 말투
자꾸 듣고 싶은걸 어떡해
저기 멀리 걸어온다
눈이 마주친다
언제까지 넌 모른척 할거니
사랑이 온거야 너와 나 말이야
네가 좋아 정말 못 견딜 만큼
그거면 된거야
더는 생각하지 말란 말이야
네 맘 가는 그대로
느낌이 오잖아 떨리고 있잖아
언제까지 눈치만 볼 거니
네 맘을 말해봐
딴청 피우지 말란 말이야
네 맘 가는 그대로
지금 내 손을 잡아
그냥 내 손을 잡아
지금 내 손을 잡아",https://www.youtube.com/watch?v=3iM_06QeZi8,"[IU] '내 손을 잡아(Hold My Hand)' Live Clip (2019 IU Tour Concert 'Love, poem')"
9,아이유 - Blueming,"‘뭐해?‘라는 두 글자에
‘네가 보고 싶어’ 나의 속마음을 담아 우
이모티콘 하나하나 속에
달라지는 내 미묘한 심리를 알까 우

아니 바쁘지 않아 nothing no no
잠들어 있지 않아 insomnia nia nia
지금 다른 사람과 함께이지 않아
응, 나도 너를 생각 중

우리의 네모 칸은 bloom
엄지손가락으로 장미꽃을 피워
향기에 취할 것 같아 우
오직 둘만의 비밀의 정원

I feel bloom I feel bloom I feel bloom
너에게 한 송이를 더 보내

밤샘 작업으로 업데이트
흥미로운 이 작품의 지은이 that’s me 우
어쩜 이 관계의 클라이맥스
2막으로 넘어가기엔 지금이 good timing 우

같은 맘인 걸 알아 realize la lize
말을 고르지 말아 just reply la la ly
조금 장난스러운 나의 은유에
네 해석이 궁금해

우리의 색은 gray and blue
엄지손가락으로 말풍선을 띄워
금세 터질 것 같아 우
호흡이 가빠져 어지러워

I feel blue. I feel blue. I feel blue.
너에게 가득히 채워

띄어쓰기없이보낼게사랑인것같애
백만송이장미꽃을, 나랑피워볼래?
꽃잎의 색은 우리 마음 가는 대로 칠해
시들 때도 예쁘게

우리의 네모 칸은 bloom
엄지손가락으로 장미꽃을 피워
향기에 취할 것 같아 우
오직 둘만의 비밀의 정원

I feel bloom I feel bloom I feel bloom
너에게 한 송이를 더 보내",https://www.youtube.com/watch?v=D1PvIWdJ8xo,[MV] IU(아이유) _ Blueming(블루밍)
