Unnamed: 0,lyrics
Tate McRae - feel like shit,"보통 보통 울지 절대
나 나 나 내는 꽤 힘들다 힘들다 고 말 말 할 것이다이다
하지만하지만 몇 지금 지금 지났는데 여전히 여전히 폐에 갇혀있다 고 느낍니다 느낍니다.
그리고 그리고 나 보통 밤 밤에 나갑니다
그리고 그리고을 당신 당신 번 생각하지 마십시오 마십시오
그러나 그러나 그러나이 그들 노래를를 연주하기 시작하면하면
""

[초아 초아]
정말 정말 정말 부분 어려운 끝날 것 것이라 고 생각했습니다했습니다
내 내 내 당신가 팔에서에서 나 자신 자신을 뽑았을 때 때
그것 그것 그것 시작일이이라는 것 것을 알았 으면 좋겠다 좋겠다
그리고 그리고 나 지금 떨어져 떨어져 나가고 있습니다

[합창]
어젯 어젯 처음 밤
당신 당신 전화은은 시도조차하지 않았습니다 않았습니다
오 오, 거짓말 난하지 않을 않을 거 야
나 나 나 내는 죽을지도지도 모른다 고 생각했다했다
나 나 전혀는는을 잘 수 없었습니다 없었습니다
그리고 그리고 그리고 그것 아마도 익숙 익숙 해 질 것입니다입니다 (아, 아, 아, 아, 아, 아)
하지만하지만하지만 난 지금 똥 똥처럼 느껴집니다 (아, 아, 아, 아, 아, 아)
오, 오

[2 절]
그래서 그래서는 나 나 사람에게 키스했습니다했습니다
그것 그것 어떻게이 졌는지 졌는지보기 위해
그러나 그러나 그러나 것 모든 내 뇌 뇌를 통해 가고있었습니다있었습니다
내 내 주위 허리 손 손이 있었다
당신 당신 당신 그것은 잘하는하는 방법을 알고 있습니다 있습니다

[초아 초아]
정말 정말 정말가 내 어려운 부분 부분으로 끝났다 끝났다 고 생각했습니다했습니다
내 내 내 당신가 팔에서에서 나 자신 자신을 뽑을 때 때
그것 그것 그것 시작일이이라는 것 것을 알았 으면 좋겠다 좋겠다
그리고 그리고 그리고 나 지금 ''Affin 'Affering'age

[합창]
어젯 어젯 처음 밤
당신 당신 당신 전화은 시도조차조차하지 않았습니다 않았습니다 (전화를 시도하지하지 않았습니다)
오 오, 거짓말 난하지 않을 않을 거 야
나 나 나 내는 죽을지도지도 모른다 고 생각했다했다
나 나 전혀는는을 잘 수 없었습니다 없었습니다
그리고 그리고 그리고 그것 아마도 익숙 익숙 해 질 것입니다입니다 (아, 아, 아, 아, 아, 아)
하지만하지만하지만 난 지금 똥 똥처럼 느껴집니다 (아, 아, 아, 아, 아, 아)
오, 오

[다리]
자, 술 조금에에 취해지면 생각을 시작 시작 할입니다입니다입니다.
나 나 손상는는 완료 되었음을 알고 있습니다 있습니다
그리고 그리고는 나 나가 처음 만났을 만났을 때 당신이 입었던 셔츠 셔츠를 여전히 있습니다 있습니다.
바닥 바닥 있는데에에 밑에서에서 걷어차 게 될 수 있습니다 있습니다.
내 내 그것가가 잊을 수있다 고 홉킨 홉킨

[합창]
어젯 어젯 처음 밤
당신 당신 전화은은 시도조차하지 않았습니다 않았습니다
오 오, 거짓말 난하지 않을 않을 거 야
나 나 나 내는 죽을지도지도 모른다 고 생각했다했다
나 나 전혀는는을 잘 수 없었습니다 없었습니다 ()
그리고 그리고 그리고 그것 아마도 익숙 익숙 해 질 것입니다입니다 (아, 아, 아, 아, 아, 아)
하지만하지만하지만 난 지금 똥 똥처럼 느껴집니다 (아, 아, 아, 아, 아, 아)
오, 오

[아웃트로]
익숙합니다
똥 똥 느낌"
Small Talk - Blue,"나 나 나 정말로는가가 파란색이라이라 고 말 한 적이 없다 없다
조금 조금 다
내 내 실제로가하지하지 않은 이유
나 나 당신는는 대해 조금 슬프 다 다
나 나 조금는 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
내 내 당신가가 얘기 할 수없는 이유 이유
후회 후회 않고
그리고 그리고이 당신한다면 거짓말 거짓말
잊을 잊을 물어 지
나와 나와 나와는 나으로부터부터 계속 달려 가고있다있다
그리고 그리고는 나 나에서 계속 돌고 있습니다 있습니다
하지만하지만가 내 내은 모든 것입니다입니다
우리 우리 첫의 마지막 키스 키스
그리고 그리고이 당신한다면 거짓말 거짓말
내 내 당신가가 함께 할 때처럼처럼
나 나 나 정말로는가가 파란색이라이라 고 말 한 적이 없다 없다
조금 조금 다
내 내 실제로가하지하지 않은 이유
나 나 당신는는 대해 조금 슬프 다 다
당신 당신 실제로이 않았기 않았기 때문에
왜 왜 그런지 왜 않았습니다
나 나 정말로는 싶지 않다 않다
그 그
우리 우리 받침대는 함께 있습니다 있습니다
그리고 그리고는 나 나을 결코 말하지 않았다 않았다
나 나 조금는 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
조금 조금 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
조금 조금 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
눈물 눈물 흘러야이.'
그러나 그러나는 나 원합니다
척 그래 예정
어떤 어떤 어떤은 사람들을 절망 절망 적이라 고 부릅니다 부릅니다
나 나 나 그것는 친구 친구가되는되는 것이 더 좋다 고 부릅니다 부릅니다
당신 당신 나
나 나 돌아는 않는다
그리고 그리고는 나 나 편안하게 시도합니다합니다
하지만하지만가 내 내은 모든 것입니다입니다
우리 우리 첫의 마지막 키스 키스
필요 필요 거짓말
내 내 당신가가 함께 할 때처럼처럼
나 나 나 정말로는가가 파란색이라이라 고 말 한 적이 없다 없다
조금 조금 다
내 내 실제로가하지하지 않은 이유
나 나 당신는는 대해 조금 슬프 다 다
당신 당신 실제로이 않았기 않았기 때문에
왜 왜 그런지 왜 않았습니다
나 나 정말로는 싶지 않다 않다
그 그
우리 우리 받침대는 함께 있습니다 있습니다
그리고 그리고는 나 나을 결코 말하지 않았다 않았다
나 나 조금는 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
조금 조금 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
조금 조금 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
내 내에 마음 마음 있는지 말 해 줘 줘
당신 당신 괜찮다이 말 말 해주세요
내 내에 마음 마음 있는지 말 해 줘 줘
우리 우리 받침대는 함께 있습니다 있습니다
당신 당신 괜찮다이 말 말 해주세요
나 나 왜는 슬프 다 다
내 내 정말로가하지 않았다 않았다
나 나 나 정말로는가가 파란색이라이라 고 말 한 적이 없다 없다
조금 조금 다
내 내 실제로가하지하지 않은 이유
나 나 당신는는 대해 조금 슬프 다 다
당신 당신 실제로이 않았기 않았기 때문에
왜 왜 그런지 왜 않았습니다
나 나 정말로는 싶지 않다 않다
그 그
우리 우리 받침대는 함께 있습니다 있습니다
그리고 그리고는 나 나을 결코 말하지 않았다 않았다
나 나 조금는 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
조금 조금 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지
조금 조금 다
왜 왜 왜가 내 내가가 파란색이라이라 고 말 않았는지 않았는지 않았는지"
Conor Matthews - Midnight Flight,"[합창]
지금 지금 (떠나면)
당신 당신 당신 그이 말 말하면 나 나는 오늘 밤에 하나입니다입니다
내 내 당신 당신 내려 내려 놓겠습니다 (예)
나 나 나 당신는 몸을을 옳게 할 수 있습니다 있습니다
밖 밖 늦어지고에서 걸 걸 알아 요
베이비 베이비 베이비 떠나면 지금 시간이있어있어 요 요 (예)
나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다

나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다
나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다

[제 1 절]
imma를 만지면를를 (가능)
이이가 음료 할 할 수 있습니다.
당신 당신 느끼는이이을 느끼고 기분이 나쁩니다 나쁩니다
나 나 그것는는 진짜로 맞을 수 있습니다 있습니다
당신 당신 그것은 느끼십니까?
나 나 그것는는 그들이 사랑 사랑이라 고 부르는 부르는 것을 알고 있습니다 있습니다.
나 나 하나는 될 될 수있다

[사전]
왜이 왜이의의 지구상가가가가 아닌가?
당신 당신 필요은은 남자와 깨어날 수 있습니다 있습니다

[합창]
지금 지금 (떠나면 떠나면)
당신 당신 당신 그이 말 말하면 나 나는 오늘 밤에 하나입니다입니다
내 내 당신 당신 내려 내려 놓겠습니다 (예)
나 나 나 당신는 몸을을 옳게 할 수 있습니다 있습니다
밖 밖 늦어지고에서 걸 걸 알아 요
베이비 베이비 베이비 떠나면 지금 시간이있어있어 요 요 (예)
나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다

[다리]
지금 지금 (떠나십시오 떠나면)
나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다
지금 지금 그대로 바로
나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다
지금 지금 그대로 바로
나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다
베이비 베이비 베이비,와와, 우리는 밤새도록 밤새도록 사랑 할 수 있습니다 있습니다

[합창]
지금 지금 (떠나면 떠나면)
당신 당신 당신 그이 말 말하면 나 나는 오늘 밤에 하나입니다입니다
내 내 당신 당신 내려 내려 놓겠습니다 (예)
나 나 나 당신는 몸을을 옳게 할 수 있습니다 있습니다
밖 밖 늦어지고에서 걸 걸 알아 요
베이비 베이비 베이비 떠나면 지금 시간이있어있어 요 요 (예)
나 나 나 당신는 자정 비행 비행에 데려 갈 수 있습니다 있습니다 있습니다 (나에게에게)

지금 지금 그대로 바로
나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다
지금 지금 그대로 바로
나 나 나 당신는 자정 비행기 비행기에 데려 데려 갈 수 있습니다 있습니다"
Bjornskov - Paralyze,"당신 당신 가까이이 때마다마다
이이은 힘을을 종료했습니다
내 내에
그리고 그리고는 나 나하다 고 생각하지 않는다 않는다
그래 그래과 당신 약해집니다
cus 당신은 당신의의 크립 토 나이트입니다입니다
아니요,하는 말 법을 모르겠습니다 모르겠습니다
내 내 무슨가을하든하든
이이 것 모든 더 나빠집니다 나빠집니다
내 내에서 머리
나 나 당신는 저주 저주를 잘라냅니다
당신 당신 나은은 크립 토 나이트입니다입니다
당신 당신 나은 마비시킨다시킨다
당신 당신 나은 마비시킨다시킨다
내 내 할가가있는 일은 없습니다 없습니다
그래 그래은 당신를를 마비시킨다
숨 숨 쉴을 마비 마비를 느낍니다
당신 당신 방이있을있을 때마다
그래서 그래서은 당신 당신를 내 무릎을 꿇었습니다 꿇었습니다
그리고 그리고는 나 노력 노력하고 있습니다
너무 너무 적 필사
그러나 그러나 마음 내 돌아옵니다
내 내 당신가 볼 때 때
cus 당신은 당신의의 크립 토 나이트입니다입니다
오오 오오 아니요
그래서 그래서은 당신 당신를 땅에 두드리십시오 두드리십시오
당신 당신 사랑의 희생자처럼처럼
당신 당신 나은 묶습니다
그래,는 나 1 라운드에 나갔다 나갔다
아니,는 나 기회가 없었습니다 없었습니다
cus 당신은 당신의의 크립 토 나이트입니다입니다
그래 그래은 당신를를 마비시킨다
당신 당신 나은 마비시킨다시킨다
내 내 할가가있는 일은 없습니다 없습니다
그래 그래은 당신를를 마비시킨다
숨 숨 쉴을 마비 마비를 느낍니다
당신 당신 방이있을있을 때마다
나 나 당신는 알려 알려주고 싶다
나 나 결코는 않았다
당신 당신 나은은 크립 토 나이트이지만이지만
그래 그래은 당신를를 마비시킨다
당신 당신 나은 마비시킨다시킨다
내 내 할가가있는 일은 없습니다 없습니다
그래 그래은 당신를를 마비시킨다
숨 숨 쉴을 마비 마비를 느낍니다
당신 당신 방이있을있을 때마다
그래 그래은 당신를를 마비시킨다
내 내 할가가있는 일은 없습니다 없습니다
그래 그래은 당신를를 마비시킨다
숨 숨 쉴을 마비 마비를 느낍니다
당신 당신 방이있을있을 때마다"
Lauv - Sims (Edited Ver.),"나 나 당신는 기원합니다합니다
그리고 그리고는 나에서 살았습니다 살았습니다
우리 우리 집는 지을 지을 수있었습니다
그리고 그리고을 꽃
그리고 그리고이 아이들
우리 우리 둘는는 얼마나 쓰레기에 있습니다 있습니다
할로윈 할로윈 다운 파티
그리고 그리고 나 아마도 아마
다시 다시 보지는합니다
나 나 우리는는 vhs에서 만났 으면 좋겠다 좋겠다
내 내 말가가 것들을 지울 것입니다입니다
그리고 그리고 다시 아마 할 할 것입니다
항상 항상를 되감기
나 나 내는는 속에서 길을 잃었다 잃었다
하지만하지만하지만는 다시을 볼 볼 수 없을 없을 것 같아 요 요
아마 아마 아마는 다시을 보지 보지 못 할 것입니다입니다
오 오
나 나 우리는 만났 만났 으면 좋겠다
또 또 밤 다른
아마도
나 나 나 당신는 나를를 떠나게하지하지 않았을 것입니다입니다
그래 그래 젠장
나 나 우리는 만났 만났 으면 좋겠다
또 또 밤 다른
다른 다른에서 삶
또 또 인생 다른
우리 우리 만났가 좋겠다
달 달 걷다
만나서 만나서 요
'아는 아는을을 것이 좋다 좋다 고 말하는 대신 대신
나 나 당신는는 감동 시키려고 노력했습니다했습니다
헛 헛로
'내 이름
적어도 적어도는 나 않을 않을 것입니다
너무 너무 머물러
나 나 당신는는 미끄러지지 않았을 것입니다입니다
오 오
나 나 우리는 만났 만났 으면 좋겠다
또 또 밤 다른
아마도
나 나 나 당신는 나를를 떠나게하지하지 않았을 것입니다입니다
그래 그래 젠장
나 나 우리는 만났 만났 으면 좋겠다
또 또 밤 다른
다른 다른에서 삶
또 또 인생 다른
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 허용는 않았을 않았을 것이다
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 허용는 않았을 않았을 것이다
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 당신는는 허락하지 않았을 것입니다입니다
나 나 나 당신는 나를를 떠나게하지하지 않았을 것입니다입니다"
Mokita - More Than Friends,"고속 고속의 도로 빛처럼처럼
내 내 내 우리가 너무 빨리 빨리 느리게 만들어서 미워합니다합니다
기다리지 기다리지 L.A. 클럽처럼
당신 당신 당신 우리은 어디에에 있는지 이해 이해 할 수 없습니다 없습니다

[초아 초아]
내 내 내 지금가하는 것 것을 말 말 할 수 좋겠다 좋겠다 좋겠다
먼저 먼저 했어야 연주 연주 가치가있는 것 것

[합창]
다시 다시 시켜서 실망
나 나 나 당신는 마음을을 아프게 할 할 의도가 없었습니다 없었습니다
이렇게 이렇게를 우리 버립니다
오 오, 그냥 난 갈 수 수 있으면 좋겠어
당시 당시 돌아갑니다
우리 우리 친구가가 더 많았을 때 돌아 왔습니다 왔습니다

[코러스 후]
친구 친구 더

[2 절]
이제 이제 이제는 우리 끝날 때 때 잠시 멈 춥니 다 다
왜 왜 중 우리 우리도 작별 작별 인사를하는 방법을 모릅니다 모릅니다.
우리 우리 우리에게 친구들가가 더 나 나은 것을 말 해주십시오주십시오
그러나 그러나 그러나가 내 모든 모든 것은은 그것이 거짓말이라고 말합니다합니다

[초아 초아]
내 내 내 지금가하는 것 것을 말 말 할 수 좋겠다 좋겠다 좋겠다
먼저 먼저 했어야 연주 연주 가치가있는 것 것

[합창]
다시 다시 시켜서 실망
나 나 나 당신는 마음을을 아프게 할 할 의도가 없었습니다 없었습니다
이렇게 이렇게를 우리 버립니다
오 오, 그냥 난 갈 수 수 있으면 좋겠어
당시 당시 돌아갑니다
우리 우리 친구가가 더 많았을 때 돌아 왔습니다 왔습니다

[코러스 후]
우리 우리 친구가가 더 많았을 때 돌아 왔습니다 왔습니다
우리 우리 친구가가 더 많았을 때 돌아 왔습니다 왔습니다

[다리]
오 오 야 야, 나는는 그것을 도울 수 없다 없다
나 나 나 친구는 더 많은 많은 것을 원한다한다

[아웃트로]
오 오 야 야, 도와 줄 수 없어
나 나 나 친구는 더 많은 많은 것을 원한다한다
오 오 야 야, 도와 줄 수 없어
나 나 나 친구는 더 많은 많은 것을 원한다한다"
Pinkish Blu - Red Hot Moon,"그게 그게
바로 바로 순간
당신 당신 소리
내 내에 피부 들어갔다
야생 야생 전화의
나 나 분열는
그리고 그리고은 그것입니다
바로 바로 순간

합창
나 나 오는는에 생각하고있다있다
당신 당신 내은은 원하는 전부입니다입니다
하지만하지만은 당신 뜨거운 뜨거운 달입니다
그리고 그리고 나?나 나?ㅏ?해안가

1 절
당신 당신은?계단 계단?그리고 그리고는 나을을 쉬지 않았습니다.
구름 구름 태양이이 막았고 나는 당신 당신의 작은 윙윙을 들었습니다 들었습니다.
나 나 나 이것는 생각하지하지 않았지만 당신 당신은 빛 보았다 보았다 보았다
""
그리고 그리고 눈은 내으로 이어졌습니다 이어졌습니다

머리 머리 머리 내가에에 누워있을있을 때 손가락 손가락이졌다 고 고 느꼈어 느꼈어
바람 바람 조금이 들었습니다.나 나 당신는는 속삭이는 소리 소리 를들을 없었습니다 없었습니다.
침묵이 침묵이에게 우리 우리 우리는 다음에에 무슨 일이 있었는지 알았습니다 알았습니다.우리 우리 그 그는에 있었고 있었고, 우리는 거기에 있었고 있었고 당신의의 눈은으로 이어졌습니다 이어졌습니다.

합창
나 나 오는는에 생각하고있다있다
당신 당신 내은은 원하는 전부입니다입니다
하지만하지만은 당신 뜨거운 뜨거운 달입니다
그리고 그리고는 나입니다

다리
그게 그게
바로 바로 순간
당신 당신 소리
내 내에 피부 들어갔다

합창
나 나 오는는에 생각하고있다있다
당신 당신 내은은 원하는 전부입니다입니다
하지만하지만은 당신 뜨거운 뜨거운 달입니다
그리고 그리고는 나입니다"
"3Lau, Justin Caruso  - Better With You (feat. Iselin)","어젯 어젯 나 밤 엉망이었다이었다
그러나 그러나 그러나는 나이 잊을 잊을 수 있기를 바랍니다 바랍니다
부탁 부탁 들어 좀
내 내 말가 것들 것들을 지우십시오
나 나 조금를 가까이 가까이 잡아 당깁니다
고통 고통 제거을
나 나 상기에게
나 나 잃을는 것 것을 얻었다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 좋습니다 좋습니다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 좋습니다 좋습니다
나 나 당신는 더 낫습니다 낫습니다
침대 침대에 옆 있습니다
당신 당신 너무은 느낍니다
내 내 내이 할당량 가득 차 차있다 고 생각합니다합니다
계속 계속하십시오
죄송합니다
그리고 그리고 고 괜찮다 할 할 것입니다
내 내 알아가
나 나 잃을는 것 것을 얻었다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 낫습니다 낫습니다
죄송합니다
그리고 그리고 고 괜찮다 할 할 것입니다
내 내 알아가
나 나 잃을는 것 것을 얻었다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 좋습니다 좋습니다
나 나 당신는에 있습니다 있습니다
다른 다른은 것하지 않습니다 않습니다
당신 당신 눈이의의 것을 만날 때 때
우리 우리 그것는 조용히 조용히 말합니다
같은 같은 아래
좋은 좋은이 것들 떨어집니다
이제 이제 이제는 나가가 당신과과 더 나은 것을 안다 안다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 낫습니다 낫습니다
나 나 당신는 더 낫습니다 낫습니다"
keshi - summer,"여름 여름 느껴지고처럼처럼을 그리워하고 싶지 않습니다 않습니다
우리 우리 입술가가 만지지 않으면 문제가 아닙니다 아닙니다
나 나 나는는 사람은은 아무도 말하고 싶지 않다 않다
내 내 내 사랑가 없다 고 고 말했지만했지만 나는한다한다한다
여름 여름 느껴지고처럼처럼을 그리워하고 싶지 않습니다 않습니다
우리 우리 입술가가 만지지 않으면 문제가 아닙니다 아닙니다
나 나 나는는 사람은은 아무도 말하고 싶지 않다 않다
내 내 내 사랑가 없다 고 고 말했지만했지만 나는한다한다한다

[제 1 절]
한 한, 번 두 번
어느 어느 밤 밤, 우리는 괜찮습니다
둘 둘 혼자서 다 가십시오
내 내에 상처 상처하지만 영원하지는 않습니다 않습니다
젠장 젠장, 심장 내 박동을을 느껴보세요
뒷좌석 뒷좌석 쓰러지십시오
내 내 텅가 있으니까
그리고 그리고가 우리 괜찮습니다

[초아 초아]
3 우리 우리이이가 얻은 전부입니다입니다
사랑 사랑 빠지지에 노력하십시오하십시오
내 내 내 충분하다가 생각 생각하지 않 않지만 나 나에게 고 말 말 했어 했어

[합창]
여름 여름 느껴지고처럼처럼을 그리워하고 싶지 않습니다 않습니다
우리 우리 입술가가 만지지 않으면 문제가 아닙니다 아닙니다
나 나 나는는 사람은은 아무도 말하고 싶지 않다 않다
내 내 내 사랑가 없다 고 고 말했지만했지만 나는한다한다한다
여름 여름 느껴지고처럼처럼을 그리워하고 싶지 않습니다 않습니다
우리 우리 입술가가 만지지 않으면 문제가 아닙니다 아닙니다
나 나 나는는 사람은은 아무도 말하고 싶지 않다 않다
내 내 내 사랑가 없다 고 고 말했지만했지만 나는한다한다한다

[2 절]
우리 우리 1는는 안에 안녕히 안녕히 가야한다 고 말했다했다
나 나 나 사우스는에서 진정 진정하고 감정을 잡았습니다 잡았습니다
잎이 잎이하면 회전 회전 이상 호의가 없습니다 없습니다
만나서 만나서 요 요, 나중에 잡아

[초아 초아]
3 우리 우리이이가 얻은 전부입니다입니다
사랑 사랑 빠지지에 노력하십시오하십시오
내 내 충분가가 않았다 고 고 말했지만 괜찮다 고 생각합니다합니다.

[합창]
여름 여름 느껴지고처럼처럼을 그리워하고 싶지 않습니다 않습니다
우리 우리 입술가가 만지지 않으면 문제가 아닙니다 아닙니다
나 나 나는는 사람은은 아무도 말하고 싶지 않다 않다
내 내 내 사랑가 없다 고 고 말했지만했지만 나는한다한다한다
여름 여름 느껴지고처럼처럼을 그리워하고 싶지 않습니다 않습니다
우리 우리 입술가가 만지지 않으면 문제가 아닙니다 아닙니다
나 나 나는는 사람은은 아무도 말하고 싶지 않다 않다
내 내 내 사랑가 없다 고 고 말했지만했지만 나는한다한다한다

[아웃트로]
(에에 상처 키스 키스하지만 영원 영원하지는 않습니다 않습니다
내 내 텅가 있으니까
내 내에 상처 상처하지만 영원하지는 않습니다 않습니다
그리고 그리고 그리고 우리 괜찮습니다 괜찮습니다)"
Bruno Mars - Versace On The Floor,"오늘 오늘 시간 밤 보내자
우리 우리의 위
모든 모든이 별들 있습니다
장소 장소 없습니다
나 나 오히려이는는에 있기를 원합니다 원합니다
당신 당신 눈은의의가 잃어버린 곳입니다입니다
샹들리 샹들리 아래
우리 우리 혼자는을을 추고 있습니다
숨길 숨길가 이유
지금 지금가 우리 것
그럼 그럼하자
조명 조명 내려을
문 문 닫으십시오
오 오는 나 드레스 드레스를 좋아한다
그러나 그러나 이상 더하지 않습니다 않습니다
아니요 아니요 이상 더하지 않습니다 않습니다
우리 우리 우리 알몸가 키스 할 할 때까지 키스합시다합시다
바닥 바닥 베르사체
나 나 위해를를를 위해 그것을 벗으십시오 벗으십시오
나 나 위해를 소녀
바닥 바닥 베르사체
나 나 위해를를를 위해 그것을 벗으십시오 벗으십시오
나 나 위해를 소녀
나 나 나 등는 압축하고하고 떨어지는 것 것을 지켜 본다 본다
내 내 내 당신가 목과 어깨 어깨에 키스하는 동안 동안
모든 모든을 것주지 마십시오 마십시오
바로 바로 바로에 여기을 붙잡을 붙잡을 준비가되어 있습니다 있습니다
당신 당신 당신 당신은 완벽하다는하다는 것을 알고 있습니다 있습니다
머리 머리 발에서까지
내 내에 미소스러워스러워하지 마십시오
나 나 결코는는 이상 결코 없었기 때문입니다입니다
진짜 진짜 위해
조명 조명 내려을
문 문 닫으십시오
오 오는 나 드레스 드레스를 좋아한다
그러나 그러나 이상 더하지 않습니다 않습니다
아니요 아니요 이상 더하지 않습니다 않습니다
우리 우리 우리 알몸가 키스 할 할 때까지 키스합시다합시다
바닥 바닥 베르사체
나 나 위해를를를 위해 그것을 벗으십시오 벗으십시오
나 나 위해를 소녀
바닥 바닥 베르사체
나 나 위해를를를 위해 그것을 벗으십시오 벗으십시오
나 나 위해를 소녀
워밍업 워밍업입니다
당신 당신 그것은 느낄 느낄 수있다
워밍업 워밍업입니다
당신 당신 그것은 느낄 느낄 수있다
워밍업 워밍업입니다
당신 당신 그것 그것은 느낄 수 있습니까?
워밍업 워밍업입니다
준비 준비 것 된
더 더 것 많은 위해
우리 우리 알몸가가 때까지 키스합시다합시다
바닥 바닥 베르사체
나 나 위해를를를 위해 그것을 벗으십시오 벗으십시오
나 나 위해를 소녀
바닥 바닥 베르사체
나 나 위해를를를 위해 그것을 벗으십시오 벗으십시오
나 나 위해를 소녀
바닥 바닥에 바닥"
